CENSUS REGION,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Midwest      ,DEVELOP    ,30-39,F  ,       320
Midwest      ,DEVELOP    ,30-39,M  ,       329
Midwest      ,DEVELOP    ,40-49,F  ,       124
Midwest      ,DEVELOP    ,40-49,M  ,       137
Midwest      ,DEVELOP    ,50-59,F  ,        89
Midwest      ,DEVELOP    ,50-59,M  ,       109
Midwest      ,DEVELOP    ,60-64,F  ,        18
Midwest      ,DEVELOP    ,60-64,M  ,        24
Midwest      ,DIGEST     , <12 ,F  ,      1163
Midwest      ,DIGEST     , <12 ,M  ,      1480
Midwest      ,DIGEST     ,13-17,F  ,        95
Midwest      ,DIGEST     ,13-17,M  ,       111
Midwest      ,DIGEST     ,18-21,F  ,        98
Midwest      ,DIGEST     ,18-21,M  ,       116
Midwest      ,DIGEST     ,22-25,F  ,       135
Midwest      ,DIGEST     ,22-25,M  ,       101
Midwest      ,DIGEST     ,26-29,F  ,       116
Midwest      ,DIGEST     ,26-29,M  ,       122
Midwest      ,DIGEST     ,30-39,F  ,       485
Midwest      ,DIGEST     ,30-39,M  ,       326
Midwest      ,DIGEST     ,40-49,F  ,      1153
Midwest      ,DIGEST     ,40-49,M  ,       816
Midwest      ,DIGEST     ,50-59,F  ,      1793
Midwest      ,DIGEST     ,50-59,M  ,      1773
Midwest      ,DIGEST     ,60-64,F  ,       490
Midwest      ,DIGEST     ,60-64,M  ,       443
Midwest      ,ENDOCR     , <12 ,F  ,       520
Midwest      ,ENDOCR     , <12 ,M  ,       604
Midwest      ,ENDOCR     ,13-17,F  ,       243
Midwest      ,ENDOCR     ,13-17,M  ,       254
Midwest      ,ENDOCR     ,18-21,F  ,       236
Midwest      ,ENDOCR     ,18-21,M  ,       244
Midwest      ,ENDOCR     ,22-25,F  ,       302
Midwest      ,ENDOCR     ,22-25,M  ,       197
Midwest      ,ENDOCR     ,26-29,F  ,       338
Midwest      ,ENDOCR     ,26-29,M  ,       239
Midwest      ,ENDOCR     ,30-39,F  ,      1453
Midwest      ,ENDOCR     ,30-39,M  ,       873
Midwest      ,ENDOCR     ,40-49,F  ,      4233
Midwest      ,ENDOCR     ,40-49,M  ,      1729
Midwest      ,ENDOCR     ,50-59,F  ,      9044
Midwest      ,ENDOCR     ,50-59,M  ,      3213
Midwest      ,ENDOCR     ,60-64,F  ,      4604
Midwest      ,ENDOCR     ,60-64,M  ,      1163
Midwest      ,GENITO     , <12 ,F  ,       158
Midwest      ,GENITO     , <12 ,M  ,       254
Midwest      ,GENITO     ,13-17,F  ,        87
Midwest      ,GENITO     ,13-17,M  ,       115
Midwest      ,GENITO     ,18-21,F  ,       156
Midwest      ,GENITO     ,18-21,M  ,       190
Midwest      ,GENITO     ,22-25,F  ,       213
Midwest      ,GENITO     ,22-25,M  ,       265
Midwest      ,GENITO     ,26-29,F  ,       195
Midwest      ,GENITO     ,26-29,M  ,       246
Midwest      ,GENITO     ,30-39,F  ,       672
Midwest      ,GENITO     ,30-39,M  ,       818
Midwest      ,GENITO     ,40-49,F  ,      1103
Midwest      ,GENITO     ,40-49,M  ,      1132
Midwest      ,GENITO     ,50-59,F  ,      1195
Midwest      ,GENITO     ,50-59,M  ,      1351
Midwest      ,GENITO     ,60-64,F  ,       388
Midwest      ,GENITO     ,60-64,M  ,       383
Midwest      ,INFECT     , <12 ,F  ,        65
Midwest      ,INFECT     , <12 ,M  ,        55
Midwest      ,INFECT     ,13-17,F  ,        44
Midwest      ,INFECT     ,13-17,M  ,        52
Midwest      ,INFECT     ,18-21,F  ,        35
Midwest      ,INFECT     ,18-21,M  ,        40
Midwest      ,INFECT     ,22-25,F  ,        40
Midwest      ,INFECT     ,22-25,M  ,        79
Midwest      ,INFECT     ,26-29,F  ,        86
Midwest      ,INFECT     ,26-29,M  ,       123
Midwest      ,INFECT     ,30-39,F  ,       373
Midwest      ,INFECT     ,30-39,M  ,       524
Midwest      ,INFECT     ,40-49,F  ,       926
Midwest      ,INFECT     ,40-49,M  ,      1599
Midwest      ,INFECT     ,50-59,F  ,      1096
Midwest      ,INFECT     ,50-59,M  ,      1531
Midwest      ,INFECT     ,60-64,F  ,       385
Midwest      ,INFECT     ,60-64,M  ,       382
Midwest      ,INJURY     , <12 ,F  ,       415
Midwest      ,INJURY     , <12 ,M  ,       585
Midwest      ,INJURY     ,13-17,F  ,       183
Midwest      ,INJURY     ,13-17,M  ,       235
Midwest      ,INJURY     ,18-21,F  ,       298
Midwest      ,INJURY     ,18-21,M  ,       607
Midwest      ,INJURY     ,22-25,F  ,       414
Midwest      ,INJURY     ,22-25,M  ,       872
Midwest      ,INJURY     ,26-29,F  ,       376
Midwest      ,INJURY     ,26-29,M  ,       901
Midwest      ,INJURY     ,30-39,F  ,      1133
Midwest      ,INJURY     ,30-39,M  ,      2409
Midwest      ,INJURY     ,40-49,F  ,      1943
Midwest      ,INJURY     ,40-49,M  ,      3257
Midwest      ,INJURY     ,50-59,F  ,      2852
Midwest      ,INJURY     ,50-59,M  ,      4428
Midwest      ,INJURY     ,60-64,F  ,      1076
Midwest      ,INJURY     ,60-64,M  ,      1280
Midwest      ,INTELLECT  , <12 ,F  ,      5397
Midwest      ,INTELLECT  , <12 ,M  ,      9290
Midwest      ,INTELLECT  ,13-17,F  ,      7127
Midwest      ,INTELLECT  ,13-17,M  ,     11208
Midwest      ,INTELLECT  ,18-21,F  ,     12901
Midwest      ,INTELLECT  ,18-21,M  ,     16361
Midwest      ,INTELLECT  ,22-25,F  ,     12915
Midwest      ,INTELLECT  ,22-25,M  ,     14365
Midwest      ,INTELLECT  ,26-29,F  ,     11501
Midwest      ,INTELLECT  ,26-29,M  ,     12131
Midwest      ,INTELLECT  ,30-39,F  ,     22733
Midwest      ,INTELLECT  ,30-39,M  ,     22026
Midwest      ,INTELLECT  ,40-49,F  ,     22053
Midwest      ,INTELLECT  ,40-49,M  ,     20694
Midwest      ,INTELLECT  ,50-59,F  ,     17532
Midwest      ,INTELLECT  ,50-59,M  ,     15657
Midwest      ,INTELLECT  ,60-64,F  ,      4925
Midwest      ,INTELLECT  ,60-64,M  ,      3632
Midwest      ,MENTALOTHER, <12 ,F  ,       973
Midwest      ,MENTALOTHER, <12 ,M  ,      1987
Midwest      ,MENTALOTHER,13-17,F  ,      1449
Midwest      ,MENTALOTHER,13-17,M  ,      2720
Midwest      ,MENTALOTHER,18-21,F  ,      1907
Midwest      ,MENTALOTHER,18-21,M  ,      2734
Midwest      ,MENTALOTHER,22-25,F  ,      2238
Midwest      ,MENTALOTHER,22-25,M  ,      2393
Midwest      ,MENTALOTHER,26-29,F  ,      2494
Midwest      ,MENTALOTHER,26-29,M  ,      2218
Midwest      ,MENTALOTHER,30-39,F  ,      7483
Midwest      ,MENTALOTHER,30-39,M  ,      5058
Midwest      ,MENTALOTHER,40-49,F  ,      9284
Midwest      ,MENTALOTHER,40-49,M  ,      5559
Midwest      ,MENTALOTHER,50-59,F  ,      9271
Midwest      ,MENTALOTHER,50-59,M  ,      5524
Midwest      ,MENTALOTHER,60-64,F  ,      3001
Midwest      ,MENTALOTHER,60-64,M  ,      1549
Midwest      ,MOOD       , <12 ,F  ,       830
Midwest      ,MOOD       , <12 ,M  ,      2197
Midwest      ,MOOD       ,13-17,F  ,      2365
Midwest      ,MOOD       ,13-17,M  ,      3600
Midwest      ,MOOD       ,18-21,F  ,      3821
Midwest      ,MOOD       ,18-21,M  ,      3756
Midwest      ,MOOD       ,22-25,F  ,      4877
Midwest      ,MOOD       ,22-25,M  ,      3809
Midwest      ,MOOD       ,26-29,F  ,      6031
Midwest      ,MOOD       ,26-29,M  ,      3782
Midwest      ,MOOD       ,30-39,F  ,     20369
Midwest      ,MOOD       ,30-39,M  ,      9149
Midwest      ,MOOD       ,40-49,F  ,     33166
Midwest      ,MOOD       ,40-49,M  ,     12614
Midwest      ,MOOD       ,50-59,F  ,     36814
